"Id","SalePrice"
1461,118281.7853138
1462,157365.93821602
1463,182490.05185969
1464,199138.287530125
1465,191726.658006045
1466,169758.139713516
1467,169445.138039161
1468,167182.160984235
1469,184567.50134858
1470,122597.04830387
1471,199741.152505669
1472,96330.0596215076
1473,94577.1184562659
1474,145603.028056769
1475,111690.702343251
1476,344611.94481008
1477,241144.774539124
1478,291994.498952876
1479,282250.788166777
1480,435324.568714645
1481,328964.284350454
1482,217814.29266898
1483,178902.879161001
1484,175809.736483611
1485,194707.993134136
1486,197219.296224806
1487,301740.022423938
1488,226126.561773194
1489,190625.05663519
1490,228837.378846807
1491,195079.549287155
1492,93238.1458699489
1493,191638.898002944
1494,288788.255465552
1495,286001.23010754
1496,228451.524256171
1497,173388.440134509
1498,169510.839632383
1499,162959.08941011
1500,160441.264988323
1501,173398.373535243
1502,157029.885069741
1503,273210.572609307
1504,236055.177049048
1505,224089.896880028
1506,193220.276760566
1507,238050.716202273
1508,194735.175378242
1509,161667.402920019
1510,144824.395699237
1511,144049.810380435
1512,169439.367211789
1513,145408.918536599
1514,154196.311543395
1515,178561.226524866
1516,158292.191589471
1517,169852.88607203
1518,133423.560430236
1519,211522.037238776
1520,131308.901629594
1521,129656.787001923
1522,172670.614035295
1523,109228.580562973
1524,122345.353182082
1525,120114.069316475
1526,119874.389120499
1527,105035.968508959
1528,135656.189508609
1529,145917.01071134
1530,173856.938799694
1531,122397.945671759
1532,103913.253877223
1533,147563.67499516
1534,118733.341758039
1535,152669.396359065
1536,109958.611763961
1537,75279.3199792964
1538,156902.165342655
1539,181921.141244455
1540,100408.953793035
1541,135213.403862678
1542,137025.847919134
1543,187490.621627427
1544,89497.435833544
1545,114184.472539992
1546,136681.543535894
1547,138077.88794205
1548,128297.764181252
1549,118291.989557134
1550,136825.105566226
1551,115677.229285773
1552,138303.78449332
1553,147926.45345708
1554,120975.444712744
1555,166323.127925878
1556,89467.0156756174
1557,99275.4376134964
1558,97556.0818652168
1559,82762.4990689776
1560,141571.467472702
1561,129592.171436516
1562,133031.58399241
1563,123676.998228634
1564,160886.336852744
1565,150723.698936586
1566,228091.012015613
1567,82575.6748521562
1568,242681.675685773
1569,139272.794295278
1570,144850.848155637
1571,122724.903691188
1572,141053.646576268
1573,229331.06802148
1574,134573.829201165
1575,222906.580133009
1576,248815.418465425
1577,190170.63876136
1578,137407.456857896
1579,144847.160495148
1580,200869.618302766
1581,156261.035491261
1582,128535.501908075
1583,298809.520429412
1584,215263.65215469
1585,144245.190582348
1586,72075.4944895431
1587,106206.803732286
1588,147148.0475191
1589,105062.142427884
1590,135460.328374311
1591,98517.4874150887
1592,119531.988497201
1593,124814.552029739
1594,120053.884410193
1595,114058.196665292
1596,213958.726312546
1597,181284.796861311
1598,216339.856959594
1599,171709.820620962
1600,174606.788237444
1601,69419.2636900893
1602,110482.148221991
1603,85290.5588766011
1604,264185.392473961
1605,240097.485095743
1606,166419.18054638
1607,161009.846371476
1608,230813.439935714
1609,183123.445775957
1610,155975.465768137
1611,142762.939117493
1612,169787.391062349
1613,166219.630590992
1614,128029.147154559
1615,94595.101457909
1616,81097.4494821699
1617,90214.3167982126
1618,122730.421970967
1619,135311.427504404
1620,165677.969135211
1621,133045.120213326
1622,136294.760727894
1623,260899.940187023
1624,216253.222323453
1625,114028.558494088
1626,164315.211635799
1627,190640.560580894
1628,269697.478071597
1629,181805.529587484
1630,310888.286193393
1631,222313.473186223
1632,234435.805361532
1633,179482.272136317
1634,190312.621729354
1635,180347.560077907
1636,157290.313373051
1637,199517.731484839
1638,190194.203028521
1639,182686.734316694
1640,245777.911963972
1641,174082.708343122
1642,232970.013192228
1643,212759.308380796
1644,233872.604082276
1645,196177.732158354
1646,157335.557590713
1647,150278.097956981
1648,132377.932643947
1649,141681.301859152
1650,117717.358164755
1651,118408.479275376
1652,98896.4352202003
1653,99724.6499620224
1654,144743.326693529
1655,141339.253864694
1656,143432.890243337
1657,146494.706203138
1658,147263.343225485
1659,120501.727114451
1660,152287.362638602
1661,412187.915993692
1662,355760.805104513
1663,349958.578130673
1664,443689.124573695
1665,277530.118300475
1666,319641.010050275
1667,353757.120423454
1668,322443.474632835
1669,298242.004495744
1670,321730.343843596
1671,266441.735275085
1672,383801.967851098
1673,295660.487823
1674,235243.880720323
1675,199300.204968496
1676,202030.043172578
1677,223828.859327314
1678,423068.518355576
1679,366953.874046826
1680,310578.294990896
1681,232916.021897865
1682,312290.359165591
1683,185535.886001704
1684,181815.479706262
1685,179136.206698435
1686,182179.128058099
1687,173616.705364046
1688,192564.664963542
1689,192629.759733901
1690,203285.590243842
1691,192773.063835477
1692,247520.466329031
1693,177120.68070911
1694,184312.47612542
1695,164138.628315205
1696,264396.017710262
1697,167683.331767694
1698,327434.329540755
1699,299485.106449222
1700,253168.778196164
1701,273078.656808074
1702,232813.597090534
1703,246949.959449678
1704,276422.137786875
1705,243569.544573657
1706,372894.610937002
1707,202796.120410958
1708,200205.058077416
1709,258587.985894129
1710,229864.181157746
1711,274263.056252186
1712,243243.034867014
1713,254677.319879528
1714,212969.17138321
1715,206091.031438849
1716,180244.011288717
1717,178841.699022487
1718,134902.938364845
1719,203245.823077257
1720,219005.263705282
1721,160546.055428896
1722,126718.302706438
1723,155281.132568627
1724,202223.11217949
1725,234788.627709113
1726,190657.533784876
1727,162619.734537858
1728,175623.074974395
1729,167377.568399566
1730,141992.723113955
1731,122834.637621105
1732,128529.28928649
1733,113892.345421574
1734,118324.318281388
1735,128312.76744758
1736,115094.620455725
1737,272054.070290353
1738,245162.174950588
1739,228302.841945105
1740,215928.28963721
1741,193438.61330444
1742,167997.730453534
1743,174348.814977329
1744,300675.043171427
1745,201612.326959543
1746,189511.872884023
1747,217745.562305707
1748,213796.143776815
1749,149889.724133567
1750,129330.817806524
1751,237912.536519974
1752,118245.674272004
1753,146855.010217001
1754,194186.348856812
1755,169605.178343553
1756,136323.889608265
1757,119858.417317253
1758,144644.129168313
1759,162872.631559879
1760,167758.485591061
1761,152931.211195795
